cluster,-1,1,All
-1,1502,1875,3377
0,0,13,13
1,13,0,13
2,0,5,5
3,11,0,11
4,0,11,11
5,10,0,10
6,8,0,8
7,0,34,34
8,7,0,7
9,9,0,9
10,6,0,6
11,0,6,6
12,0,5,5
13,0,9,9
14,5,0,5
15,0,9,9
16,0,33,33
17,9,0,9
18,35,0,35
19,0,32,32
20,13,0,13
21,0,9,9
22,0,10,10
23,8,0,8
24,0,30,30
25,6,0,6
26,6,0,6
27,0,5,5
28,0,7,7
29,28,0,28
30,5,0,5
31,5,0,5
32,7,0,7
33,6,0,6
34,0,6,6
35,0,8,8
36,15,0,15
37,6,0,6
38,15,0,15
39,5,0,5
40,0,6,6
41,0,5,5
42,6,0,6
43,0,5,5
44,6,0,6
45,7,0,7
46,8,0,8
47,8,0,8
48,5,0,5
49,5,0,5
50,0,5,5
51,0,6,6
52,7,0,7
53,2,4,6
54,5,0,5
55,5,0,5
56,0,11,11
57,10,0,10
58,5,0,5
59,7,0,7
60,17,0,17
61,5,0,5
62,10,0,10
63,0,7,7
64,6,0,6
65,6,0,6
66,0,12,12
67,5,1,6
68,6,0,6
69,0,5,5
70,0,5,5
71,0,7,7
72,0,6,6
73,0,6,6
74,0,7,7
75,5,0,5
76,8,0,8
77,5,0,5
78,5,0,5
79,5,0,5
80,5,0,5
81,5,0,5
82,9,0,9
83,5,0,5
84,0,5,5
All,1933,2210,4143
