Dataset,Algorithm,N_Clusters,N_Noise,Silhouette,Davies-Bouldin,Calinski-Harabasz
TF-IDF Full (500 feat),K-Means,10,0,0.10908195092763531,3.4689216782137726,94.46494510967942
TF-IDF Full (500 feat),K-Means (k=3),3,0,0.04440286293046825,4.2371542918559095,113.99426802839622
TF-IDF Full (500 feat),Agglomerative (Ward),10,0,0.11065517832340659,2.5986495381861916,96.87757426167839
TF-IDF Full (500 feat),Agglomerative (Complete),10,0,0.03816020914028291,5.596010620311718,35.86512240461237
TF-IDF Full (500 feat),DBSCAN (eps=0.5),131,2023,0.7892816369494117,0.4418934724384878,341.993479959325
TF-IDF Full (500 feat),DBSCAN (eps=1.0),1,155,,,
TF-IDF Full (500 feat),Mean Shift,1,0,,,
TF-IDF Full (500 feat),BIRCH,10,0,0.04707478256183088,4.178635001882775,53.99774476699403
TF-IDF Reduced (100 feat),K-Means,10,0,0.14212912698083682,2.3874334374786508,159.54734889603614
TF-IDF Reduced (100 feat),K-Means (k=3),3,0,0.06595791864320265,3.554512949810974,188.44686215780237
TF-IDF Reduced (100 feat),Agglomerative (Ward),10,0,0.1295187463783009,2.3719691324389673,142.09144132882162
TF-IDF Reduced (100 feat),Agglomerative (Complete),10,0,0.05841286833741419,4.065861516494398,74.36156591503823
TF-IDF Reduced (100 feat),DBSCAN (eps=0.5),119,1652,0.6292239572300656,0.6241951991816503,224.37255028507525
TF-IDF Reduced (100 feat),DBSCAN (eps=1.0),1,1,,,
TF-IDF Reduced (100 feat),Mean Shift,1,0,,,
TF-IDF Reduced (100 feat),BIRCH,10,0,0.060599789915559595,3.395265365016063,91.91609172399174
Count Vec (200 feat),K-Means,10,0,0.5210184044584472,1.31697569500743,1127.2453054298921
Count Vec (200 feat),K-Means (k=3),3,0,0.9136924610938225,0.47690186645012417,2481.5696344480866
Count Vec (200 feat),Agglomerative (Ward),10,0,0.5156725093153713,0.8356461256860974,1158.5878825483467
Count Vec (200 feat),Agglomerative (Complete),10,0,0.7884838015371611,0.7053826720673505,1050.7928288243286
Count Vec (200 feat),DBSCAN (eps=0.5),85,3377,1.0,0.0,1.0
Count Vec (200 feat),DBSCAN (eps=1.0),24,3611,0.8042715344319238,0.43315629259612837,35654.090361885435
Count Vec (200 feat),Mean Shift,2440,0,0.33087743760126104,0.1477875969682969,8459.950930074945
Count Vec (200 feat),BIRCH,10,0,0.5061057128968639,0.7953072941267133,1143.059962865168
TF-IDF + Stats,K-Means,10,0,0.11609977110372258,1.9156973828435508,1391.2367218507652
TF-IDF + Stats,K-Means (k=3),3,0,0.3764282607766996,0.9216255969772279,3124.535710614658
TF-IDF + Stats,Agglomerative (Ward),10,0,0.09128588544286463,1.8871783884882034,1266.2161567156445
TF-IDF + Stats,Agglomerative (Complete),10,0,0.4896310769918788,0.6837166356997778,685.5147056600814
TF-IDF + Stats,DBSCAN (eps=0.5),130,2004,0.7438102504690717,0.5046554821936104,559.6053495961326
TF-IDF + Stats,DBSCAN (eps=1.0),14,325,-0.14762446956435366,0.8321730741616324,243.04448135216614
TF-IDF + Stats,Mean Shift,10,0,0.5618215180827515,0.6180302490599129,597.4682949644468
TF-IDF + Stats,BIRCH,10,0,0.08560188788595317,1.541553185775902,1172.9029530760217
PCA (50 comp),K-Means,10,0,0.21650067635342615,1.3908597779345997,196.67283412169095
PCA (50 comp),K-Means (k=3),3,0,0.22226636254360413,0.7362460701457776,225.34281661197
PCA (50 comp),Agglomerative (Ward),10,0,0.20716724135065762,1.6893527974737776,209.89523281962747
PCA (50 comp),Agglomerative (Complete),10,0,0.18020688150277597,1.8675411586092754,164.66904204926553
PCA (50 comp),DBSCAN (eps=0.5),8,12,0.0800467678815958,0.8753589345501717,86.12555152380706
PCA (50 comp),DBSCAN (eps=1.0),1,0,,,
PCA (50 comp),Mean Shift,1,0,,,
PCA (50 comp),BIRCH,10,0,0.20212659502587102,1.6662340255294446,166.5943070146008
SVD (50 comp),K-Means,10,0,0.17152859963588313,1.8580952185997515,190.3114363755788
SVD (50 comp),K-Means (k=3),3,0,0.18250471065436807,1.3012023376869422,219.1248185308722
SVD (50 comp),Agglomerative (Ward),10,0,0.1958236195679552,1.7488728690279907,209.64242558730788
SVD (50 comp),Agglomerative (Complete),10,0,0.16965040613200316,2.1710712283860105,163.89798691241327
SVD (50 comp),DBSCAN (eps=0.5),7,12,0.08006063261842293,0.883194030881406,88.93907877068338
SVD (50 comp),DBSCAN (eps=1.0),1,0,,,
SVD (50 comp),Mean Shift,1,0,,,
SVD (50 comp),BIRCH,10,0,0.17053636639036782,1.814162227224165,165.30342524338243
